방송일시,노출(분),상품명,상품군,날짜,시간,방송월,방송요일
2020-01-02 18:20:00,60.0,안동간고등어,농수축,2020-01-02,18:20,1,3
2020-01-02 19:20:00,60.0,노비타비데,생활용품,2020-01-02,19:20,1,3
2020-01-02 20:20:00,60.0,LG통돌이세탁기,가전,2020-01-02,20:20,1,3
2020-01-02 21:20:00,60.0,비버리힐스폴로 남성기초세트,이미용,2020-01-02,21:20,1,3
2020-01-02 22:20:00,60.0,쿠쿠 압력밥솥,주방,2020-01-02,22:20,1,3
2020-01-02 23:20:00,60.0,선일금고,생활용품,2020-01-02,23:20,1,3
2020-01-03 00:20:00,60.0,프리드라이프,무형,2020-01-03,00:20,1,4
2020-01-03 01:20:00,40.0,네오젠마스카라,이미용,2020-01-03,01:20,1,4
2020-01-03 06:20:00,60.0,제니하우스염색제,이미용,2020-01-03,06:20,1,4
2020-01-03 07:20:00,60.0,크리스티나앤코,의류,2020-01-03,07:20,1,4
2020-01-03 08:20:00,60.0,클란츠멀티쿡,주방,2020-01-03,08:20,1,4
2020-01-03 09:20:00,60.0,참존,이미용,2020-01-03,09:20,1,4
2020-01-03 10:20:00,60.0,엔웰스마스크,생활용품,2020-01-03,10:20,1,4
2020-01-03 11:20:00,60.0,에트로,잡화,2020-01-03,11:20,1,4
2020-01-03 12:20:00,60.0,현대해상운전자보험,무형,2020-01-03,12:20,1,4
2020-01-03 13:20:00,60.0,레이프릴속옷,속옷,2020-01-03,13:20,1,4
2020-01-03 14:20:00,60.0,베트남망고,농수축,2020-01-03,14:20,1,4
2020-01-03 15:20:00,60.0,브루마스,잡화,2020-01-03,15:20,1,4
2020-01-03 16:20:00,60.0,대동모피,의류,2020-01-03,16:20,1,4
2020-01-03 17:20:00,60.0,램프쿡,주방,2020-01-03,17:20,1,4
2020-01-03 18:20:00,60.0,푸마드로즈,속옷,2020-01-03,18:20,1,4
2020-01-03 19:20:00,60.0,니봇로봇청소기,생활용품,2020-01-03,19:20,1,4
2020-01-03 20:20:00,60.0,보루네오침대,가구,2020-01-03,20:20,1,4
2020-01-03 21:20:00,60.0,LG냉장고,가전,2020-01-03,21:20,1,4
2020-01-03 22:20:00,60.0,캐리어공기청정기,가전,2020-01-03,22:20,1,4
2020-01-03 23:20:00,60.0,여행상품,무형,2020-01-03,23:20,1,4
2020-01-04 00:20:00,60.0,팔로모매트리스,무형,2020-01-04,00:20,1,5
2020-01-04 01:20:00,40.0,쥐포,농수축,2020-01-04,01:20,1,5
2020-01-04 06:20:00,60.0,정관장 홍삼활력,건강기능,2020-01-04,06:20,1,5
2020-01-04 07:20:00,60.0,엔엔에프 패션,의류,2020-01-04,07:20,1,5
2020-01-04 08:20:00,60.0,네오젠,이미용,2020-01-04,08:20,1,5
2020-01-04 09:20:00,60.0,헤스티지 재킷,의류,2020-01-04,09:20,1,5
2020-01-04 10:20:00,60.0,코치,잡화,2020-01-04,10:20,1,5
2020-01-04 11:20:00,60.0,엔웰스마스크1,생활용품,2020-01-04,11:20,1,5
2020-01-04 12:20:00,60.0,안동간고등어,농수축,2020-01-04,12:20,1,5
2020-01-04 13:20:00,60.0,네오젠,이미용,2020-01-04,13:20,1,5
2020-01-04 14:20:00,60.0,현대해상운전자보험,무형,2020-01-04,14:20,1,5
2020-01-04 15:20:00,60.0,한일믹서기,주방,2020-01-04,15:20,1,5
2020-01-04 16:20:00,60.0,손질갑오징어,농수축,2020-01-04,16:20,1,5
2020-01-04 17:20:00,40.0,멋진밥상 흥양농협쌀,농수축,2020-01-04,17:20,1,5
2020-01-04 18:00:00,20.0,정보방송,무형,2020-01-04,18:00,1,5
2020-01-04 18:20:00,60.0,여행상품,무형,2020-01-04,18:20,1,5
2020-01-04 19:20:00,60.0,노비타비데,생활용품,2020-01-04,19:20,1,5
2020-01-04 20:20:00,60.0,보닌남성기초,이미용,2020-01-04,20:20,1,5
2020-01-04 21:20:00,60.0,도가니탕,농수축,2020-01-04,21:20,1,5
2020-01-04 22:20:00,60.0,영산포 숙성 홍어회,농수축,2020-01-04,22:20,1,5
2020-01-04 23:20:00,60.0,여행상품2부,무형,2020-01-04,23:20,1,5
2020-01-05 00:20:00,60.0,제니하우스염색제,이미용,2020-01-05,00:20,1,6
2020-01-05 01:20:00,40.0,네오젠마스카라,이미용,2020-01-05,01:20,1,6
2020-01-05 06:20:00,60.0,크리스티나앤코,의류,2020-01-05,06:20,1,6
2020-01-05 07:20:00,60.0,장수흙침대,가구,2020-01-05,07:20,1,6
2020-01-05 08:20:00,60.0,석류즙,건강기능,2020-01-05,08:20,1,6
2020-01-05 09:20:00,60.0,니봇로봇청소기,생활용품,2020-01-05,09:20,1,6
2020-01-05 10:20:00,60.0,헤스티지 재킷,의류,2020-01-05,10:20,1,6
2020-01-05 11:20:00,60.0,램프쿡,주방,2020-01-05,11:20,1,6
2020-01-05 12:20:00,60.0,푸마드로즈,속옷,2020-01-05,12:20,1,6
2020-01-05 13:20:00,60.0,브루마스,잡화,2020-01-05,13:20,1,6
2020-01-05 14:20:00,60.0,제주갈치앤조기,농수축,2020-01-05,14:20,1,6
2020-01-05 15:20:00,60.0,참존,이미용,2020-01-05,15:20,1,6
2020-01-05 16:20:00,60.0,양구시래기,농수축,2020-01-05,16:20,1,6
2020-01-05 17:20:00,60.0,IH가마솥,주방,2020-01-05,17:20,1,6
2020-01-05 18:20:00,60.0,여행상품,무형,2020-01-05,18:20,1,6
2020-01-05 19:20:00,60.0,비버리힐스폴로 남성기초세트,이미용,2020-01-05,19:20,1,6
2020-01-05 20:20:00,60.0,LG냉장고,가전,2020-01-05,20:20,1,6
2020-01-05 21:20:00,60.0,쿠쿠 압력밥솥,주방,2020-01-05,21:20,1,6
2020-01-05 22:20:00,60.0,LG통돌이세탁기,가전,2020-01-05,22:20,1,6
2020-01-05 23:20:00,60.0,손질문어,농수축,2020-01-05,23:20,1,6
2020-01-06 00:20:00,60.0,컨시크아이라이너,이미용,2020-01-06,00:20,1,0
2020-01-06 01:20:00,40.0,코몽트상의,의류,2020-01-06,01:20,1,0
2020-01-06 06:20:00,60.0,크리스티나앤코상의,의류,2020-01-06,06:20,1,0
2020-01-06 07:20:00,60.0,티포트,주방,2020-01-06,07:20,1,0
2020-01-06 08:20:00,60.0,오델로,잡화,2020-01-06,08:20,1,0
2020-01-06 09:20:00,60.0,헤스티지 재킷,의류,2020-01-06,09:20,1,0
2020-01-06 10:20:00,60.0,에코라믹 냄비세트,주방,2020-01-06,10:20,1,0
2020-01-06 11:20:00,60.0,영광 모시떡,농수축,2020-01-06,11:20,1,0
2020-01-06 12:20:00,60.0,보험,무형,2020-01-06,12:20,1,0
2020-01-06 13:20:00,60.0,참존,이미용,2020-01-06,13:20,1,0
2020-01-06 14:20:00,60.0,제주수산물세트,농수축,2020-01-06,14:20,1,0
2020-01-06 15:20:00,60.0,한일믹서기,주방,2020-01-06,15:20,1,0
2020-01-06 16:20:00,60.0,영산포 숙성 홍어회,농수축,2020-01-06,16:20,1,0
2020-01-06 17:20:00,60.0,도가니탕,농수축,2020-01-06,17:20,1,0
2020-01-06 18:20:00,60.0,일월매트,생활용품,2020-01-06,18:20,1,0
2020-01-06 19:20:00,60.0,헤스티지패션,의류,2020-01-06,19:20,1,0
2020-01-06 20:20:00,60.0,LG통돌이세탁기,가전,2020-01-06,20:20,1,0
2020-01-06 21:20:00,60.0,삼성암보험,무형,2020-01-06,21:20,1,0
2020-01-06 22:20:00,60.0,램프쿡,주방,2020-01-06,22:20,1,0
2020-01-06 23:20:00,60.0,선일금고,생활용품,2020-01-06,23:20,1,0
2020-01-07 00:20:00,60.0,장수흙침대,가구,2020-01-07,00:20,1,1
2020-01-07 01:20:00,40.0,교원리빙,무형,2020-01-07,01:20,1,1
2020-01-07 06:20:00,60.0,안국 루테인,건강기능,2020-01-07,06:20,1,1
2020-01-07 07:20:00,60.0,마르엘라로사티,의류,2020-01-07,07:20,1,1
2020-01-07 08:20:00,60.0,셀렉프로,주방,2020-01-07,08:20,1,1
2020-01-07 09:20:00,60.0,청소기,가전,2020-01-07,09:20,1,1
2020-01-07 10:20:00,60.0,에트로,잡화,2020-01-07,10:20,1,1
2020-01-07 11:20:00,60.0,메주,농수축,2020-01-07,11:20,1,1
2020-01-07 12:20:00,60.0,조이앤피스,잡화,2020-01-07,12:20,1,1
2020-01-07 13:20:00,60.0,델키생선구이오븐,주방,2020-01-07,13:20,1,1
2020-01-07 14:20:00,60.0,배윤자소곱창전골,농수축,2020-01-07,14:20,1,1
2020-01-07 15:20:00,60.0,어성초샴푸,이미용,2020-01-07,15:20,1,1
2020-01-07 16:20:00,60.0,티포트,주방,2020-01-07,16:20,1,1
2020-01-07 17:20:00,60.0,궁중손질새우,농수축,2020-01-07,17:20,1,1
2020-01-07 18:20:00,60.0,현대정수기,무형,2020-01-07,18:20,1,1
2020-01-07 19:20:00,60.0,손질통오징어,농수축,2020-01-07,19:20,1,1
2020-01-07 20:20:00,60.0,쿠첸전기밥솥,주방,2020-01-07,20:20,1,1
2020-01-07 21:20:00,60.0,비버리힐스폴로 남성기초세트,이미용,2020-01-07,21:20,1,1
2020-01-07 22:20:00,60.0,푸마드로즈,속옷,2020-01-07,22:20,1,1
2020-01-07 23:20:00,60.0,넥센타이어,무형,2020-01-07,23:20,1,1
2020-01-08 00:20:00,60.0,교원리빙,무형,2020-01-08,00:20,1,2
2020-01-08 01:20:00,40.0,헤스티지 패션,의류,2020-01-08,01:20,1,2
2020-01-08 06:20:00,60.0,마르시끄속눈썹드라이기,이미용,2020-01-08,06:20,1,2
2020-01-08 07:20:00,60.0,IH가마솥,주방,2020-01-08,07:20,1,2
2020-01-08 08:20:00,60.0,헤스티지패션,의류,2020-01-08,08:20,1,2
2020-01-08 09:20:00,60.0,참존,이미용,2020-01-08,09:20,1,2
2020-01-08 10:20:00,60.0,LA갈비,농수축,2020-01-08,10:20,1,2
2020-01-08 11:20:00,60.0,쿠쿠 압력밥솥,주방,2020-01-08,11:20,1,2
2020-01-08 12:20:00,60.0,암블로슈즈,잡화,2020-01-08,12:20,1,2
2020-01-08 13:20:00,60.0,레이프릴속옷,속옷,2020-01-08,13:20,1,2
2020-01-08 14:20:00,60.0,석류즙,건강기능,2020-01-08,14:20,1,2
2020-01-08 15:20:00,60.0,매직쉐프믹서기,주방,2020-01-08,15:20,1,2
2020-01-08 16:20:00,60.0,램프쿡,주방,2020-01-08,16:20,1,2
2020-01-08 17:20:00,60.0,헤스티지 재킷,의류,2020-01-08,17:20,1,2
2020-01-08 18:20:00,60.0,손질문어,농수축,2020-01-08,18:20,1,2
2020-01-08 19:20:00,60.0,에지리프라이팬,주방,2020-01-08,19:20,1,2
2020-01-08 20:20:00,60.0,노비타비데,생활용품,2020-01-08,20:20,1,2
2020-01-08 21:20:00,60.0,LG통돌이세탁기,가전,2020-01-08,21:20,1,2
2020-01-08 22:20:00,60.0,손질갑오징어,농수축,2020-01-08,22:20,1,2
2020-01-08 23:20:00,60.0,팔로모매트리스,무형,2020-01-08,23:20,1,2
2020-01-09 00:20:00,60.0,슬리미,무형,2020-01-09,00:20,1,3
2020-01-09 01:20:00,40.0,헤스티지 패션,의류,2020-01-09,01:20,1,3
2020-01-09 06:20:00,60.0,바로바로무선청소기,생활용품,2020-01-09,06:20,1,3
2020-01-09 07:20:00,60.0,컨시크립스틱,이미용,2020-01-09,07:20,1,3
2020-01-09 08:20:00,60.0,아르테사노,잡화,2020-01-09,08:20,1,3
2020-01-09 09:20:00,60.0,스튜디오럭스,의류,2020-01-09,09:20,1,3
2020-01-09 10:20:00,60.0,궁중손질새우,농수축,2020-01-09,10:20,1,3
2020-01-09 11:20:00,60.0,도가니탕,농수축,2020-01-09,11:20,1,3
2020-01-09 12:20:00,60.0,반찬명가녹선,농수축,2020-01-09,12:20,1,3
2020-01-09 13:20:00,60.0,브루마스,잡화,2020-01-09,13:20,1,3
2020-01-09 14:20:00,60.0,프리지아헤어컬러,이미용,2020-01-09,14:20,1,3
2020-01-09 15:20:00,60.0,로벤탈,주방,2020-01-09,15:20,1,3
2020-01-09 16:20:00,60.0,마르엘라로사티,의류,2020-01-09,16:20,1,3
2020-01-09 17:20:00,60.0,삼성암보험,무형,2020-01-09,17:20,1,3
2020-01-09 18:20:00,60.0,유귀열민어,농수축,2020-01-09,18:20,1,3
2020-01-09 19:20:00,60.0,보닌남성기초,이미용,2020-01-09,19:20,1,3
2020-01-09 20:20:00,60.0,넥센타이어,무형,2020-01-09,20:20,1,3
2020-01-09 21:20:00,60.0,LG냉장고,가전,2020-01-09,21:20,1,3
2020-01-09 22:20:00,60.0,손질문어,농수축,2020-01-09,22:20,1,3
2020-01-09 23:20:00,60.0,현대정수기,무형,2020-01-09,23:20,1,3
2020-01-10 00:20:00,60.0,브루마스,잡화,2020-01-10,00:20,1,4
2020-01-10 01:20:00,40.0,라쉬반,속옷,2020-01-10,01:20,1,4
2020-01-10 06:20:00,60.0,레이프릴속옷,속옷,2020-01-10,06:20,1,4
2020-01-10 07:20:00,60.0,한일믹서기,주방,2020-01-10,07:20,1,4
2020-01-10 08:20:00,60.0,발열장갑,잡화,2020-01-10,08:20,1,4
2020-01-10 09:20:00,60.0,명품잡화,잡화,2020-01-10,09:20,1,4
2020-01-10 10:20:00,60.0,마르엘라로사티,의류,2020-01-10,10:20,1,4
2020-01-10 11:20:00,60.0,로벤탈,주방,2020-01-10,11:20,1,4
2020-01-10 12:20:00,60.0,현대해상운전자보험,무형,2020-01-10,12:20,1,4
2020-01-10 13:20:00,60.0,아르테사노,잡화,2020-01-10,13:20,1,4
2020-01-10 14:20:00,60.0,암블로슈즈,잡화,2020-01-10,14:20,1,4
2020-01-10 15:20:00,60.0,IH가마솥,주방,2020-01-10,15:20,1,4
2020-01-10 16:20:00,60.0,오세득갈비탕,농수축,2020-01-10,16:20,1,4
2020-01-10 17:20:00,60.0,델키생선구이오븐,주방,2020-01-10,17:20,1,4
2020-01-10 18:20:00,60.0,황토고구마,농수축,2020-01-10,18:20,1,4
2020-01-10 19:20:00,60.0,노비타비데,생활용품,2020-01-10,19:20,1,4
2020-01-10 20:20:00,60.0,영산포 숙성 홍어회,농수축,2020-01-10,20:20,1,4
2020-01-10 21:20:00,60.0,LG통돌이세탁기,가전,2020-01-10,21:20,1,4
2020-01-10 22:20:00,60.0,쿠쿠 압력밥솥,주방,2020-01-10,22:20,1,4
2020-01-10 23:20:00,60.0,여행상품,무형,2020-01-10,23:20,1,4
2020-01-11 00:20:00,60.0,삼성냉장고,가전,2020-01-11,00:20,1,5
2020-01-11 01:20:00,40.0,어성초샴푸,이미용,2020-01-11,01:20,1,5
2020-01-11 06:20:00,60.0,텀블러,주방,2020-01-11,06:20,1,5
2020-01-11 07:20:00,60.0,스튜디오럭스,의류,2020-01-11,07:20,1,5
2020-01-11 08:20:00,60.0,니봇로봇청소기,생활용품,2020-01-11,08:20,1,5
2020-01-11 09:20:00,60.0,보닌남성기초,이미용,2020-01-11,09:20,1,5
2020-01-11 10:20:00,60.0,명품잡화,잡화,2020-01-11,10:20,1,5
2020-01-11 11:20:00,60.0,제니하우스염색제,이미용,2020-01-11,11:20,1,5
2020-01-11 12:20:00,60.0,헤스티지 재킷,의류,2020-01-11,12:20,1,5
2020-01-11 13:20:00,60.0,메주,농수축,2020-01-11,13:20,1,5
2020-01-11 14:20:00,60.0,연세두유,건강기능,2020-01-11,14:20,1,5
2020-01-11 15:20:00,60.0,쿠첸전기밥솥,주방,2020-01-11,15:20,1,5
2020-01-11 16:20:00,60.0,LA갈비,농수축,2020-01-11,16:20,1,5
2020-01-11 17:20:00,40.0,마르엘라로사티,의류,2020-01-11,17:20,1,5
2020-01-11 18:00:00,20.0,정보방송,무형,2020-01-11,18:00,1,5
2020-01-11 18:20:00,60.0,여행상품,무형,2020-01-11,18:20,1,5
2020-01-11 19:20:00,60.0,램프쿡,주방,2020-01-11,19:20,1,5
2020-01-11 20:20:00,60.0,푸마드로즈,속옷,2020-01-11,20:20,1,5
2020-01-11 21:20:00,60.0,현대해상운전자보험,무형,2020-01-11,21:20,1,5
2020-01-11 22:20:00,60.0,LGTV,가전,2020-01-11,22:20,1,5
2020-01-11 23:20:00,60.0,여행상품2부,무형,2020-01-11,23:20,1,5
2020-01-12 00:20:00,60.0,선일금고,생활용품,2020-01-12,00:20,1,6
2020-01-12 01:20:00,40.0,쥐포,농수축,2020-01-12,01:20,1,6
2020-01-12 06:20:00,60.0,티포트,주방,2020-01-12,06:20,1,6
2020-01-12 07:20:00,60.0,코치,잡화,2020-01-12,07:20,1,6
2020-01-12 08:20:00,60.0,어성초샴푸,이미용,2020-01-12,08:20,1,6
2020-01-12 09:20:00,60.0,코몽트상의,의류,2020-01-12,09:20,1,6
2020-01-12 10:20:00,60.0,크리스티나앤코,의류,2020-01-12,10:20,1,6
2020-01-12 11:20:00,60.0,양구시래기,농수축,2020-01-12,11:20,1,6
2020-01-12 12:20:00,60.0,브루마스,잡화,2020-01-12,12:20,1,6
2020-01-12 13:20:00,60.0,참존,이미용,2020-01-12,13:20,1,6
2020-01-12 14:20:00,60.0,LA갈비,농수축,2020-01-12,14:20,1,6
2020-01-12 15:20:00,60.0,니봇로봇청소기,생활용품,2020-01-12,15:20,1,6
2020-01-12 16:20:00,60.0,고창 고구마,농수축,2020-01-12,16:20,1,6
2020-01-12 17:20:00,60.0,메주,농수축,2020-01-12,17:20,1,6
2020-01-12 18:20:00,60.0,여행상품,무형,2020-01-12,18:20,1,6
2020-01-12 19:20:00,60.0,비버리힐스폴로 남성기초세트,이미용,2020-01-12,19:20,1,6
2020-01-12 20:20:00,60.0,쿠쿠 압력밥솥,주방,2020-01-12,20:20,1,6
2020-01-12 21:20:00,60.0,LG냉장고,가전,2020-01-12,21:20,1,6
2020-01-12 22:20:00,60.0,손질갑오징어,농수축,2020-01-12,22:20,1,6
2020-01-12 23:20:00,60.0,젠트웰 남성의류,의류,2020-01-12,23:20,1,6
2020-01-13 00:20:00,60.0,루시헨느란쥬,속옷,2020-01-13,00:20,1,0
2020-01-13 01:20:00,40.0,클린샤워,잡화,2020-01-13,01:20,1,0
2020-01-13 06:20:00,60.0,IH가마솥,주방,2020-01-13,06:20,1,0
2020-01-13 07:20:00,60.0,제니하우스염색제,이미용,2020-01-13,07:20,1,0
2020-01-13 08:20:00,60.0,에트로,잡화,2020-01-13,08:20,1,0
2020-01-13 09:20:00,60.0,엔엔에프 패션,의류,2020-01-13,09:20,1,0
2020-01-13 10:20:00,60.0,네오젠,이미용,2020-01-13,10:20,1,0
2020-01-13 11:20:00,60.0,에코라믹 후라이팬,주방,2020-01-13,11:20,1,0
2020-01-13 12:20:00,60.0,오모떼동내의,속옷,2020-01-13,12:20,1,0
2020-01-13 13:20:00,60.0,현대해상운전자보험,무형,2020-01-13,13:20,1,0
2020-01-13 14:20:00,60.0,참소쿠리,주방,2020-01-13,14:20,1,0
2020-01-13 15:20:00,60.0,현대정수기,무형,2020-01-13,15:20,1,0
2020-01-13 16:20:00,60.0,궁중손질새우,농수축,2020-01-13,16:20,1,0
2020-01-13 17:20:00,60.0,이종임갈비찜,농수축,2020-01-13,17:20,1,0
2020-01-13 18:20:00,60.0,램프쿡,주방,2020-01-13,18:20,1,0
2020-01-13 19:20:00,60.0,푸마드로즈,속옷,2020-01-13,19:20,1,0
2020-01-13 20:20:00,60.0,쿠쿠 압력밥솥,주방,2020-01-13,20:20,1,0
2020-01-13 21:20:00,60.0,LGTV,가전,2020-01-13,21:20,1,0
2020-01-13 22:20:00,60.0,영산포 숙성 홍어회,농수축,2020-01-13,22:20,1,0
2020-01-13 23:20:00,60.0,헤스티지 재킷,의류,2020-01-13,23:20,1,0
2020-01-14 00:20:00,60.0,넥센타이어,무형,2020-01-14,00:20,1,1
2020-01-14 01:20:00,40.0,속눈썹,이미용,2020-01-14,01:20,1,1
2020-01-14 06:20:00,60.0,스네일픽스선반,주방,2020-01-14,06:20,1,1
2020-01-14 07:20:00,60.0,헤스티지 재킷,의류,2020-01-14,07:20,1,1
2020-01-14 08:20:00,60.0,티포트,주방,2020-01-14,08:20,1,1
2020-01-14 09:20:00,60.0,메디아글램,잡화,2020-01-14,09:20,1,1
2020-01-14 10:20:00,60.0,조이앤피스,잡화,2020-01-14,10:20,1,1
2020-01-14 11:20:00,60.0,대동모피,의류,2020-01-14,11:20,1,1
2020-01-14 12:20:00,60.0,마리아꾸르끼,잡화,2020-01-14,12:20,1,1
2020-01-14 13:20:00,60.0,센스락진공포장기,주방,2020-01-14,13:20,1,1
2020-01-14 14:20:00,60.0,한만두,농수축,2020-01-14,14:20,1,1
2020-01-14 15:20:00,60.0,어성초샴푸,이미용,2020-01-14,15:20,1,1
2020-01-14 16:20:00,60.0,도가니탕,농수축,2020-01-14,16:20,1,1
2020-01-14 17:20:00,60.0,영광 모시떡,농수축,2020-01-14,17:20,1,1
2020-01-14 18:20:00,60.0,일월매트,생활용품,2020-01-14,18:20,1,1
2020-01-14 19:20:00,60.0,노비타비데,생활용품,2020-01-14,19:20,1,1
2020-01-14 20:20:00,60.0,비버리힐스폴로 남성기초세트,이미용,2020-01-14,20:20,1,1
2020-01-14 21:20:00,60.0,LG냉장고,가전,2020-01-14,21:20,1,1
2020-01-14 22:20:00,60.0,손질문어,농수축,2020-01-14,22:20,1,1
2020-01-14 23:20:00,60.0,루시헨느란쥬,속옷,2020-01-14,23:20,1,1
2020-01-15 00:20:00,60.0,뇌새김영어,무형,2020-01-15,00:20,1,2
2020-01-15 01:20:00,40.0,실크테라피 샴푸,이미용,2020-01-15,01:20,1,2
2020-01-15 06:20:00,60.0,관절팔팔,건강기능,2020-01-15,06:20,1,2
2020-01-15 07:20:00,60.0,크리스티나앤코,의류,2020-01-15,07:20,1,2
2020-01-15 08:20:00,60.0,니봇로봇청소기,생활용품,2020-01-15,08:20,1,2
2020-01-15 09:20:00,60.0,보닌남성기초,이미용,2020-01-15,09:20,1,2
2020-01-15 10:20:00,60.0,완도 활전복,농수축,2020-01-15,10:20,1,2
2020-01-15 11:20:00,60.0,이종임갈비찜,농수축,2020-01-15,11:20,1,2
2020-01-15 12:20:00,60.0,조이앤피스,잡화,2020-01-15,12:20,1,2
2020-01-15 13:20:00,60.0,참존,이미용,2020-01-15,13:20,1,2
2020-01-15 14:20:00,60.0,코치,잡화,2020-01-15,14:20,1,2
2020-01-15 15:20:00,60.0,사과배혼합,농수축,2020-01-15,15:20,1,2
2020-01-15 16:20:00,60.0,LA갈비,농수축,2020-01-15,16:20,1,2
2020-01-15 17:20:00,60.0,궁중손질새우,농수축,2020-01-15,17:20,1,2
2020-01-15 18:20:00,60.0,에지리프라이팬,주방,2020-01-15,18:20,1,2
2020-01-15 19:20:00,60.0,푸마드로즈,속옷,2020-01-15,19:20,1,2
2020-01-15 20:20:00,60.0,현대정수기,무형,2020-01-15,20:20,1,2
2020-01-15 21:20:00,60.0,손질갑오징어,농수축,2020-01-15,21:20,1,2
2020-01-15 22:20:00,60.0,장수흙침대,가구,2020-01-15,22:20,1,2
2020-01-15 23:20:00,60.0,제주레드향,농수축,2020-01-15,23:20,1,2
2020-01-16 00:20:00,60.0,삼성암보험,무형,2020-01-16,00:20,1,3
2020-01-16 01:20:00,40.0,팔레오,건강기능,2020-01-16,01:20,1,3
2020-01-16 06:20:00,60.0,엘렌실라코즈미쑥클렌저,이미용,2020-01-16,06:20,1,3
2020-01-16 07:20:00,60.0,에버라스트속옷,잡화,2020-01-16,07:20,1,3
2020-01-16 08:20:00,60.0,디베이지,의류,2020-01-16,08:20,1,3
2020-01-16 09:20:00,60.0,셰프웨이후라이팬,주방,2020-01-16,09:20,1,3
2020-01-16 10:20:00,60.0,컨시크립스틱,이미용,2020-01-16,10:20,1,3
2020-01-16 11:20:00,60.0,레이프릴속옷,속옷,2020-01-16,11:20,1,3
2020-01-16 12:20:00,60.0,메주,농수축,2020-01-16,12:20,1,3
2020-01-16 13:20:00,60.0,아르테사노,잡화,2020-01-16,13:20,1,3
2020-01-16 14:20:00,60.0,엔엔에프 패션,의류,2020-01-16,14:20,1,3
2020-01-16 15:20:00,60.0,한일믹서기,주방,2020-01-16,15:20,1,3
2020-01-16 16:20:00,60.0,섬유유연제,생활용품,2020-01-16,16:20,1,3
2020-01-16 17:20:00,80.0,삼육두유세트,건강기능,2020-01-16,17:20,1,3
2020-01-16 18:40:00,40.0,키친아트전기곰솥,주방,2020-01-16,18:40,1,3
2020-01-16 19:20:00,60.0,대동모피,의류,2020-01-16,19:20,1,3
2020-01-16 20:20:00,60.0,코몽트상의,의류,2020-01-16,20:20,1,3
2020-01-16 21:20:00,60.0,삼성노트북,가전,2020-01-16,21:20,1,3
2020-01-16 22:20:00,60.0,비버리힐스폴로 남성기초세트,이미용,2020-01-16,22:20,1,3
